id_jogador,id_time,nome_jogador,posicao,nacionalidade,data_nascimento
244753,1768,João Victor,Meio-campista,Brazil,2006-05-12
249225,1768,Diogo Riquelme,Meio-campista,Brazil,2005-04-23
278937,1768,Vitinho,Meio-campista,Brazil,2007-04-19
290564,1768,Lucas Marezi,Meio-campista,Brazil,2006-01-18
290565,1768,Gustavo Veiga,Meio-campista,Brazil,2006-01-16
290566,1768,Stabelini,Meio-campista,Brazil,2007-05-14
291293,1768,Guilherme Back,Meio-campista,Brazil,2006-09-23
291295,1768,Benjamín Brito,Meio-campista,Argentina,2007-07-25
293116,1768,Lima,Meio-campista,Brazil,1995-11-01
56226,1768,Julimar,Atacante,Brazil,2001-01-25
176630,1768,Renan,Atacante,Brazil,2003-01-31
192070,1768,Kevin Viveros,Atacante,Colombia,2000-04-26
249382,1768,Renan Peixoto,Atacante,Brazil,2000-02-21
249477,1768,Leozinho,Atacante,Brazil,1998-12-05
259923,1768,Kayke,Atacante,Brazil,2008-04-26
278610,1768,Sorriso,Atacante,Brazil,2006-04-15
290569,1768,Lucas Amorim,Atacante,Brazil,2006-06-05
291286,1768,Juliano Santini,Atacante,Brazil,2007-02-23
8606,1768,Stiven Mendoza,Ponta Esquerdo,Colombia,1992-06-27
1562,1769,Marcelo Lomba,Goleiro,Brazil,1986-12-18
118029,1769,Carlos Miguel,Goleiro,Brazil,1998-10-09
281726,1769,Wanderson Ferreira,Goleiro,Brazil,2005-02-07
283241,1769,Luiz Sá,Goleiro,Brazil,2007-03-01
287885,1769,Kauan Lima,Goleiro,Brazil,2007-02-14
1741,1769,Gustavo Gómez,Defensor,Paraguay,1993-05-06
28740,1769,Joaquín Piquerez,Defensor,Uruguay,1998-08-24
46454,1769,Alexander Barboza,Defensor,Argentina,1995-03-16
115222,1769,Bruno Fuchs,Defensor,Brazil,1999-04-01
115559,1769,Khellven,Defensor,Brazil,2001-02-25
170525,1769,Murilo Cerqueira,Defensor,Brazil,1997-03-27
183528,1769,Agustin Giay,Defensor,Argentina,2004-01-16
206776,1769,Jefte,Defensor,Brazil,2003-12-21
260932,1769,Luis Gustavo,Defensor,Brazil,2006-06-07
281040,1769,Arthur Santana,Defensor,Brazil,2005-09-04
292249,1769,Meykson Silmark,Defensor,Brazil,2006-04-01
295654,1769,Koné Zié Mohamed,Defensor,Ivory Coast,2007-10-20
1080,1769,Marlon Freitas,Meio-campista,Brazil,1995-03-27
22306,1769,Jhon Arias,Meio-campista,Colombia,1997-09-21
45173,1769,Lucas Evangelista,Meio-campista,Brazil,1995-05-06
119594,1769,Mauricio,Meio-campista,Paraguay,2001-06-22
130957,1769,Emiliano Martínez,Meio-campista,Uruguay,1999-08-17
181523,1769,Vitor de Almeida,Meio-campista,Brazil,2005-10-25
270549,1769,Vitor Figueiredo,Meio-campista,Brazil,2006-03-03
278888,1769,Victor Gabriel,Meio-campista,Brazil,2006-11-22
281587,1769,Rafael Coutinho,Meio-campista,Brazil,2006-03-24
282123,1769,Erick Machado,Meio-campista,Brazil,2007-01-21
287767,1769,Luis Pacheco,Meio-campista,Brazil,2008-02-02
291831,1769,Gabriel Silva,Meio-campista,Brazil,2007-02-04
295840,1769,Eduardo Conceição,Meio-campista,Brazil,2009-12-07
1490,1769,Paulinho,Atacante,Brazil,2000-07-15
140647,1769,Ramón Sosa,Atacante,Paraguay,1999-08-31
170698,1769,José Manuel López,Atacante,Argentina,2000-12-06
249169,1769,Luighi Hanri,Atacante,Brazil,2006-04-30
249222,1769,Riquelme Fillipi,Atacante,Brazil,2006-09-15
262366,1769,Larson,Atacante,Brazil,2005-07-10
274216,1769,Allan,Atacante,Brazil,2004-04-19
